experiment_id,sector_id,subasset_id,algorithm,profile,horizon,holding_sessions,stock_or_etf_track,status,failure_reason,market_backtest_run,holdout_contaminated,provisional_finalist,winner,net_cagr,max_drawdown,sharpe,sortino,calmar,es95_loss,net_excess_return_mean,net_excess_return_block_ci,win_rate,payoff_ratio,median_return,worst_decile,rank_ic,benchmark_beat_rate,mean_exposure,peak_exposure,turnover,empty_selection_day_fraction,cost_2x_return,cost_4x_return,independent_events,raw_signals,deduped_events,data_missing_rejections,pit_qualify_rate,delisted_coverage,history_coverage,subgroup
energy__B_confirmed_base_breakout__balanced__long,energy,,B_confirmed_base_breakout,balanced,long,63,stock,DATA_INSUFFICIENT,"No licensed point-in-time US daily tape, delist file, corporate-action journal, or historical venue/industry vintages were verified in this environment.",False,,False,False,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,油服
energy__B_confirmed_base_breakout__aggressive__short,energy,,B_confirmed_base_breakout,aggressive,short,5,stock,DATA_INSUFFICIENT,"No licensed point-in-time US daily tape, delist file, corporate-action journal, or historical venue/industry vintages were verified in this environment.",False,,False,False,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,上游
energy__B_confirmed_base_breakout__aggressive__short,energy,,B_confirmed_base_breakout,aggressive,short,5,stock,DATA_INSUFFICIENT,"No licensed point-in-time US daily tape, delist file, corporate-action journal, or historical venue/industry vintages were verified in this environment.",False,,False,False,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,综合油气
energy__B_confirmed_base_breakout__aggressive__short,energy,,B_confirmed_base_breakout,aggressive,short,5,stock,DATA_INSUFFICIENT,"No licensed point-in-time US daily tape, delist file, corporate-action journal, or historical venue/industry vintages were verified in this environment.",False,,False,False,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,炼化
energy__B_confirmed_base_breakout__aggressive__short,energy,,B_confirmed_base_breakout,aggressive,short,5,stock,DATA_INSUFFICIENT,"No licensed point-in-time US daily tape, delist file, corporate-action journal, or historical venue/industry vintages were verified in this environment.",False,,False,False,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,油服
energy__B_confirmed_base_breakout__aggressive__mid,energy,,B_confirmed_base_breakout,aggressive,mid,20,stock,DATA_INSUFFICIENT,"No licensed point-in-time US daily tape, delist file, corporate-action journal, or historical venue/industry vintages were verified in this environment.",False,,False,False,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,上游
energy__B_confirmed_base_breakout__aggressive__mid,energy,,B_confirmed_base_breakout,aggressive,mid,20,stock,DATA_INSUFFICIENT,"No licensed point-in-time US daily tape, delist file, corporate-action journal, or historical venue/industry vintages were verified in this environment.",False,,False,False,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,综合油气
energy__B_confirmed_base_breakout__aggressive__mid,energy,,B_confirmed_base_breakout,aggressive,mid,20,stock,DATA_INSUFFICIENT,"No licensed point-in-time US daily tape, delist file, corporate-action journal, or historical venue/industry vintages were verified in this environment.",False,,False,False,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,炼化
energy__B_confirmed_base_breakout__aggressive__mid,energy,,B_confirmed_base_breakout,aggressive,mid,20,stock,DATA_INSUFFICIENT,"No licensed point-in-time US daily tape, delist file, corporate-action journal, or historical venue/industry vintages were verified in this environment.",False,,False,False,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,油服
energy__B_confirmed_base_breakout__aggressive__long,energy,,B_confirmed_base_breakout,aggressive,long,63,stock,DATA_INSUFFICIENT,"No licensed point-in-time US daily tape, delist file, corporate-action journal, or historical venue/industry vintages were verified in this environment.",False,,False,False,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,上游
energy__B_confirmed_base_breakout__aggressive__long,energy,,B_confirmed_base_breakout,aggressive,long,63,stock,DATA_INSUFFICIENT,"No licensed point-in-time US daily tape, delist file, corporate-action journal, or historical venue/industry vintages were verified in this environment.",False,,False,False,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,综合油气
energy__B_confirmed_base_breakout__aggressive__long,energy,,B_confirmed_base_breakout,aggressive,long,63,stock,DATA_INSUFFICIENT,"No licensed point-in-time US daily tape, delist file, corporate-action journal, or historical venue/industry vintages were verified in this environment.",False,,False,False,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,炼化
energy__B_confirmed_base_breakout__aggressive__long,energy,,B_confirmed_base_breakout,aggressive,long,63,stock,DATA_INSUFFICIENT,"No licensed point-in-time US daily tape, delist file, corporate-action journal, or historical venue/industry vintages were verified in this environment.",False,,False,False,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,油服
energy__C_trend_pullback__conservative__short,energy,,C_trend_pullback,conservative,short,5,stock,DATA_INSUFFICIENT,"No licensed point-in-time US daily tape, delist file, corporate-action journal, or historical venue/industry vintages were verified in this environment.",False,,False,False,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,上游
energy__C_trend_pullback__conservative__short,energy,,C_trend_pullback,conservative,short,5,stock,DATA_INSUFFICIENT,"No licensed point-in-time US daily tape, delist file, corporate-action journal, or historical venue/industry vintages were verified in this environment.",False,,False,False,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,综合油气
energy__C_trend_pullback__conservative__short,energy,,C_trend_pullback,conservative,short,5,stock,DATA_INSUFFICIENT,"No licensed point-in-time US daily tape, delist file, corporate-action journal, or historical venue/industry vintages were verified in this environment.",False,,False,False,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,炼化
energy__C_trend_pullback__conservative__short,energy,,C_trend_pullback,conservative,short,5,stock,DATA_INSUFFICIENT,"No licensed point-in-time US daily tape, delist file, corporate-action journal, or historical venue/industry vintages were verified in this environment.",False,,False,False,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,油服
energy__C_trend_pullback__conservative__mid,energy,,C_trend_pullback,conservative,mid,20,stock,DATA_INSUFFICIENT,"No licensed point-in-time US daily tape, delist file, corporate-action journal, or historical venue/industry vintages were verified in this environment.",False,,False,False,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,上游
energy__C_trend_pullback__conservative__mid,energy,,C_trend_pullback,conservative,mid,20,stock,DATA_INSUFFICIENT,"No licensed point-in-time US daily tape, delist file, corporate-action journal, or historical venue/industry vintages were verified in this environment.",False,,False,False,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,综合油气
energy__C_trend_pullback__conservative__mid,energy,,C_trend_pullback,conservative,mid,20,stock,DATA_INSUFFICIENT,"No licensed point-in-time US daily tape, delist file, corporate-action journal, or historical venue/industry vintages were verified in this environment.",False,,False,False,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,炼化
energy__C_trend_pullback__conservative__mid,energy,,C_trend_pullback,conservative,mid,20,stock,DATA_INSUFFICIENT,"No licensed point-in-time US daily tape, delist file, corporate-action journal, or historical venue/industry vintages were verified in this environment.",False,,False,False,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,油服
energy__C_trend_pullback__conservative__long,energy,,C_trend_pullback,conservative,long,63,stock,DATA_INSUFFICIENT,"No licensed point-in-time US daily tape, delist file, corporate-action journal, or historical venue/industry vintages were verified in this environment.",False,,False,False,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,上游
