variant,ic20_mean,ic20_t,ic63_mean,ic63_t,ls20_%,ls20_t,ls63_%,ls63_t,top10_ex20_%,top10_ex20_t,top10_ex63_%,top10_ex63_t,ic20_2022,ic20_2023,ic20_2024,ic20_2025,ic20_2026
V0_current_like,-0.011340513032538956,-0.6526196513441465,-0.01429449667617784,-0.47925088315917486,-0.4528799968080051,-0.6437042942489767,-0.9645449028642604,-0.4320773689688458,-0.46193551554584433,-1.2365190890178424,-1.4856633299492434,-1.1845429893077553,-0.01913076599106606,-0.04452797233826831,0.001794810203802345,0.0008421426490427872,0.02128393143898902
V2_volscaled_mid,0.009921024897201756,0.5228899998070592,0.031437918638252176,1.050023360676481,0.8889301575829524,1.2846828667885475,3.3056411031625244,1.5805595123510703,0.15122543341940226,0.37638368624747415,0.795159072223253,0.6125876219832902,0.006949787149244341,-0.003329433893960486,0.018652276112587886,0.009045019804238363,0.027351129931987028
V2s_volscaled_short,0.00405330987508994,0.20543192601113497,0.012572020536476916,0.3821520089258726,0.23120101040226596,0.3084623180625743,1.5122169294036345,0.6599782619641247,-0.2942507825237468,-0.6999705098445137,-0.4403931287895206,-0.3216452416938926,-0.0060358708377620425,-0.022092533619951307,0.021501732580150597,0.010116082897340428,0.03056128587630261
V2l_volscaled_long,0.02267572806370113,1.089574321438645,0.039292542642672006,1.1842004054855333,1.130457634569593,1.4493870132510858,3.2633359444090133,1.402309922814675,0.31066938024955865,0.7229584457213132,1.0914231939278223,0.788336036512947,0.022952168491844126,0.002873802316227709,0.04392454709642398,0.012586607160268057,0.04010445137628579
V15a_M_volscaled_T_noR,-0.0007060827575666917,-0.037220326193784174,0.0032149648562848176,0.09965974421085581,0.17875754124800114,0.2490372046620215,1.1894909866794896,0.5297525098436452,-0.3488219758705234,-0.8581460924358609,-0.8036739900976395,-0.5704928343984681,-0.013208305492657892,-0.03214123133266079,0.016801899661320993,0.010825677940321726,0.030330642645369124
V15b_M_volscaled_T_halfR,-0.0007376784409431843,-0.03743234157256309,0.0033284812745503693,0.1007512219021836,0.016154548044975146,0.021499132412785678,0.7667492497071428,0.3316150154862458,-0.4700134848388918,-1.2062569503815397,-1.1017685533897195,-0.8280355563926184,-0.0112776410266458,-0.032222956068245004,0.01874200644084957,0.007579568654849793,0.02890463038284578
V15c_M_volscaled_only_plus_resid,-0.00331059690056822,-0.18260146254134074,0.002328954968944414,0.07477475488913213,0.13997558501194857,0.202429652960064,1.1816942304753217,0.536814624021578,-0.3333558203385677,-0.8286238940160418,-0.7520678319763868,-0.5407993830382786,-0.015345124155972192,-0.03316990703813842,0.010145925317520605,0.009903555272102318,0.02840432602071263
V14_like_alpha05,-0.0016965463592641017,-0.08408393715691366,0.0056609855488776095,0.1712589520631371,-0.0952482248994963,-0.12366341221833964,0.40949360612874747,0.17818133756032634,-0.4774176432835063,-1.3137041662597804,-1.202013678091404,-0.986806960223585,-0.0097357596394335,-0.030521962549477345,0.016798016072117894,0.0032110272261003502,0.026350315002478
V1_raw_RS,0.011979225961366349,0.5532192080114114,0.014686540821287678,0.4041168419762326,0.7662017940577011,0.7861420526539951,2.031973923750347,0.6998225450026675,0.26092409553738205,0.48274192038755626,0.6090163818769668,0.365083190001986,0.01797585459794621,-0.026606050278537505,0.035499189646812375,0.01013574845890561,0.03471289558707199
