variant,ic20_mean,ic20_t,ic63_mean,ic63_t,ls20_%,ls20_t,ls63_%,ls63_t,top10_ex20_%,top10_ex20_t,top10_ex63_%,top10_ex63_t,ic20_2022,ic20_2023,ic20_2024,ic20_2025,ic20_2026
V0_current_like,-0.011340513032538956,-0.6526196513441465,-0.01429449667617784,-0.47925088315917486,-0.4528799968080051,-0.6437042942489767,-0.9645449028642604,-0.4320773689688458,-0.46193551554584433,-1.2365190890178424,-1.4856633299492434,-1.1845429893077553,-0.01913076599106606,-0.04452797233826831,0.001794810203802345,0.0008421426490427872,0.02128393143898902
V1_raw_RS,0.011979225961366349,0.5532192080114114,0.014686540821287678,0.4041168419762326,0.7662017940577011,0.7861420526539951,2.031973923750347,0.6998225450026675,0.26092409553738205,0.48274192038755626,0.6090163818769668,0.365083190001986,0.01797585459794621,-0.026606050278537505,0.035499189646812375,0.01013574845890561,0.03471289558707199
V2_volscaled_mom,0.009921024897201756,0.5228899998070592,0.031437918638252176,1.050023360676481,0.8889301575829524,1.2846828667885475,3.3056411031625244,1.5805595123510703,0.15122543341940226,0.37638368624747415,0.795159072223253,0.6125876219832902,0.006949787149244341,-0.003329433893960486,0.018652276112587886,0.009045019804238363,0.027351129931987028
V3_52wH_plus_RS,0.02119961291096636,0.871847898859482,0.023176042147803975,0.5861957533070334,0.2865751662167274,0.28323228604582457,0.5484044469173118,0.19070414833365967,-0.16628662627085627,-0.3712078204850974,-0.5910408590813878,-0.43175342811959055,0.026665871223661996,-0.015646614622008847,0.05190887084653514,0.007792102258305857,0.05052924194715655
V4_RS_plus_accel,0.0159439744086913,0.788299538862141,0.009749601908328551,0.2950214392897824,0.7737412825867769,0.885111550108922,1.4396635823794417,0.5918906514807598,0.47026866945436163,0.9684683587749419,0.3286626952813462,0.24035930402203676,-0.004550160804679928,-0.004375466418582884,0.04020761534189991,0.0184586832404097,0.04518402914977127
V5_clenow,-0.011325258793626627,-0.5856322562950276,-0.0005407991013749041,-0.017722158954653892,0.1059712203962731,0.16094324637186594,1.484817835027918,0.7945945603732963,0.01502993657228585,0.025982907016183256,0.231585574355738,0.13260307410237826,0.005818102040055481,-0.04962199054334983,0.00925028094579304,-0.0022793883549619637,-0.025732869182325313
V6_v14_like,-0.00996220055113826,-0.5553482860722843,-0.012646191994289345,-0.412506706498493,-0.38648600406969247,-0.5299550404864033,-0.8167659973572768,-0.3541440273096431,-0.47572136001975146,-1.24863609488561,-1.4751384684967626,-1.1679257002190662,-0.017213838810970356,-0.044306579231315035,0.00505710048018025,0.0010309765985787153,0.022503505196722947
V7_RS_trend_noStab,0.013745905578556396,0.6013986356870132,0.014414954830301493,0.3824661234545948,0.3641784771818662,0.3768296709440069,0.9851176015398366,0.3438514489991119,-0.10352571562975571,-0.22197244826435542,-0.34994888259688567,-0.23516078713812344,0.015568158862946007,-0.025467814698854348,0.041767683346862816,0.00938176552483367,0.042358049908634406
V8_RS_resid_blend,-0.005578442511036831,-0.3119431080927419,-0.00489145245951673,-0.15437488863729132,0.2901654112504058,0.3772727746058404,1.264612341518036,0.5177801806955472,-0.10131340664420525,-0.2258643832374833,-0.3522806390186944,-0.22959272778961035,-0.010436742787923593,-0.04505765676488562,0.007467547796100986,0.008951600208400058,0.029341310622631622
V9_volscaled_52wH,0.01959764123535276,0.844998945278859,0.03292412781194554,0.8810919474136462,0.03156299850394692,0.034304875264999035,0.6663042796337936,0.2578560737685339,-0.4407977275449803,-1.120333103469624,-0.735873031245643,-0.6217645172648704,0.019574597505728885,-0.005618764095232373,0.042980057500899636,0.008365732278205753,0.046866269884955174
V10_volscaled_RS_accel,0.01610690042228531,0.7800881694601988,0.02588058842989915,0.7858526501852634,0.49283601937457966,0.5792080753383934,1.5447894704127763,0.6597375099475212,0.08853881646089622,0.19367314858805032,0.0285975074481458,0.023157150774704146,-0.0028618037633564184,0.0021981920734570177,0.03504520498444208,0.018375856509593197,0.040419716849379866
Vx_R_stability_only,0.002840939073389805,0.10771753730682834,0.00579437263535773,0.12880296692845508,-1.6930693870998599,-1.4333869521275473,-4.422500801424656,-1.2127240225675069,-0.7134946441177461,-1.6179354895900007,-2.101367654552464,-1.5784529351462637,0.03497483752383342,-0.0025735163966017914,0.035802757249084306,-0.04702536521820808,-0.017606887727753196
Vx_D_resid_only,-0.01561521515150415,-1.0722187204895612,-0.017471090358696838,-0.6480840699238132,-0.18216454450406727,-0.33456379629107236,-0.22774149170798372,-0.11881740581161863,-0.20631862699740622,-0.5360865605593554,-0.8522582736611659,-0.6427403473000151,-0.02448410748581188,-0.046430155751448765,-0.01573547171838863,0.006646360864975898,0.020931687941530826
Vx_T_trend_only,0.0009741151632964167,0.05034644434064032,-0.002554556949482779,-0.07787918769700809,0.17235710662371737,0.239223785494215,0.7406317768653894,0.32834225486719226,-0.36241363009557753,-0.8778894033979671,-1.0932903677216246,-0.7803453405020151,-0.010673066321880286,-0.03599281314339427,0.023851946455584704,0.010741757823385954,0.03424210649556635
V11_balanced_mix,0.012968668578341256,0.5916693714466109,0.02268288465421121,0.6353289229671474,0.2168755123096088,0.24041907415898695,1.3406124533907318,0.5085188901932124,-0.26640039049366865,-0.6198449328414336,-0.2674187327317515,-0.19387524364149913,0.010895932681581377,-0.015574237797867454,0.03483743412516843,0.009750731587318222,0.037895363822433845
