dim,bucket,h,ex_mean_%,hit,avg_n_per_date,dates
atr,atr1.75-2.5xMed,5,0.5137292274549563,0.504364694471387,18.410714285714285,224.0
atr,atr1.75-2.5xMed,20,1.6793743294012071,0.47963142580019397,18.410714285714285,224.0
atr,atr1.75-2.5xMed,63,3.387176271171048,0.46071774975751695,18.410714285714285,224.0
atr,atr<=1.75xMed,5,-0.028517701020433397,0.49472116069693634,68.92410714285714,224.0
atr,atr<=1.75xMed,20,-0.011294049310265019,0.4763909579635987,68.92410714285714,224.0
atr,atr<=1.75xMed,63,0.3571618084213456,0.4626594986721938,68.92410714285714,224.0
atr,atr>2.5xMed,5,0.245190854303331,0.45118082481494537,13.574162679425838,209.0
atr,atr>2.5xMed,20,0.005908720937651145,0.41311244272118436,13.574162679425838,209.0
atr,atr>2.5xMed,63,0.5309667708975866,0.38914346140289036,13.574162679425838,209.0
extension,ext1-2,5,0.07827777614271898,0.4952050601917976,21.879464285714285,224.0
extension,ext1-2,20,-0.015810225612625208,0.47214854111405835,21.879464285714285,224.0
extension,ext1-2,63,0.4383426196576103,0.4558253417669863,21.879464285714285,224.0
extension,ext2-3,5,-0.06538706110829214,0.474468085106383,12.995391705069125,217.0
extension,ext2-3,20,0.10621603658497802,0.46382978723404256,12.995391705069125,217.0
extension,ext2-3,63,0.6261222680204657,0.45070921985815604,12.995391705069125,217.0
extension,ext<1,5,0.2039113542331932,0.49544190358467244,57.785714285714285,224.0
extension,ext<1,20,0.440682979438505,0.4697929542645241,57.785714285714285,224.0
extension,ext<1,63,1.0929867385479373,0.45179233621755255,57.785714285714285,224.0
extension,ext>3,5,-0.26785904098917346,0.47262247838616717,8.71859296482412,199.0
extension,ext>3,20,0.4852392825102837,0.4622478386167147,8.71859296482412,199.0
extension,ext>3,63,1.6874273850368005,0.45763688760806914,8.71859296482412,199.0
