variant,gate,topN,n_dates,ex20_mean_%,ex20_t,ex63_mean_%,ex63_t,top20_minus_univ20_%,hit20,hit63,ann_ret_20d_chain_%,mdd_20d_chain_%,turnover,pick_vol63_%,pick_ext_atr,pick_atr_%,ex20_2022_%,ex20_2023_%,ex20_2024_%,ex20_2025_%,ex20_2026_%
V0_current_like,none,20,224,-0.7007364108031899,-1.5314257437035979,-1.7442940686584747,-1.2251781339308412,-0.6023745328444985,0.45334821428571426,0.4232142857142857,4.386733399437603,-12.551970687680624,0.36210762331838564,23.47169189836282,1.0530724449821496,2.031379177750396,0.719202399413423,-2.1199947398963945,-0.5467520990059922,-0.8415844816913036,-0.7295212483708821
V0_current_like,atr<=1.75xMed,20,224,-0.709267229573793,-1.5529610425291402,-1.7520450771103895,-1.2311620723116163,-0.6109053516151014,0.453125,0.42299107142857145,4.386733399437603,-12.551970687680624,0.36210762331838564,23.469418733507805,1.0531375826339298,2.0308160842854006,0.719202399413423,-2.1199947398963945,-0.5467520990059922,-0.8415844816913036,-0.8091422235631763
V0_current_like,atr<=2.5xMed,20,224,-0.7007364108031899,-1.5314257437035979,-1.7442940686584747,-1.2251781339308412,-0.6023745328444985,0.45334821428571426,0.4232142857142857,4.386733399437603,-12.551970687680624,0.36210762331838564,23.47169189836282,1.0530724449821496,2.031379177750396,0.719202399413423,-2.1199947398963945,-0.5467520990059922,-0.8415844816913036,-0.7295212483708821
D63skip5_resid_only,none,20,224,0.2419475848079385,0.35041699420645483,-0.6222521201532367,-0.26066352446144636,0.3403094627666298,0.4683035714285714,0.44218750000000007,16.517735544407806,-25.18340502040093,0.44080717488789245,42.488907431335534,1.0135518297370265,3.831610023254982,0.8441596763484487,-1.096669173200901,0.03612537035088985,0.9899911297696394,0.6464962013989315
D63skip5_resid_only,atr<=1.75xMed,20,224,-0.1467844743251263,-0.2608396928438929,-0.9146539250785926,-0.46055286116739363,-0.04842259636643477,0.46852678571428574,0.4446428571428571,8.890741192837815,-22.42439982175741,0.44663677130044843,34.06308651073381,0.9940390850157101,2.958867035963556,0.7875470105643844,-1.253042995846935,-0.9066543490019752,0.32382943416173093,0.8140134482213098
D63skip5_resid_only,atr<=2.5xMed,20,224,-0.029979991541995057,-0.04867077229189876,-0.9055470269916679,-0.43715503025540137,0.06838188641669642,0.46696428571428567,0.44218750000000007,10.028303652458682,-21.290302723823395,0.437219730941704,37.03577334292824,1.0196829267704521,3.2521889362422702,0.8804451628124823,-1.3066551576938057,-0.8295448450533421,0.6651721775401325,0.9505672922633225
D12m1_resid_only,none,20,204,0.6098134805774185,0.9301324820580005,2.6726727259674044,1.04636433114089,0.7433290066625596,0.48161764705882354,0.4759803921568627,31.16736249540257,-15.641518031890422,0.304679802955665,50.96597689821909,0.11944056557326352,4.400685718588004,1.2736256697890338,-1.0102245746467555,0.0011175944477667052,0.6468834280932804,4.3460148978919895
D12m1_resid_only,atr<=1.75xMed,20,204,0.07332567546262381,0.14175126182730566,0.9311090714279022,0.5490501662058003,0.20684120154776517,0.47843137254901963,0.47794117647058826,21.173365163159662,-10.517652752779894,0.33620689655172414,36.08473783121891,0.21828875978069984,3.0807545390048157,0.6861851351875724,-1.0786467599619112,-0.23390467584002395,0.3809239262665423,1.7064274673132385
D12m1_resid_only,atr<=2.5xMed,20,204,0.5243745236995556,0.8877477217233506,2.3212049735034634,1.109093945667586,0.6578900497846968,0.48431372549019613,0.48627450980392156,29.032336275018533,-12.08663694659463,0.322167487684729,41.43156689351366,0.17860905816926761,3.5410850758239856,1.3034512456551772,-1.4603083045299443,0.15760560485693464,1.2964890526477277,2.8408144923465874
D6m1_resid_only,none,20,224,0.03475935275307483,0.05960194581760865,1.2243740163015442,0.5930596394624084,0.13312123071176624,0.46517857142857144,0.46986607142857145,13.172867925069065,-25.604925499991793,0.34955156950672645,44.92099838089644,0.05435773891737135,4.037550041724677,1.0909382245222445,-0.9027533704186871,-1.0538448593151928,0.2973616260941395,1.5083755821901472
D6m1_resid_only,atr<=1.75xMed,20,224,-0.1407169495399913,-0.27857470564813563,0.6307146382128875,0.3852121942385448,-0.04235507158129971,0.47098214285714285,0.48147321428571427,9.961228795785981,-22.34360290311237,0.3751121076233184,34.576322850097235,0.12692181602392055,3.0518126519160487,0.8933722712557166,-1.2231854872646766,-1.0747273291022696,0.19820897587053327,1.1998325735448658
D6m1_resid_only,atr<=2.5xMed,20,224,0.014560787757430933,0.025447240138899273,0.7298368247888684,0.40539855366880495,0.11292266571612246,0.46986607142857145,0.47946428571428573,12.032831674510213,-24.845019220783538,0.3600896860986547,38.63075106876906,0.08596821604967302,3.4310928283893154,1.0744217896215165,-1.298242831671083,-0.9257958019524162,0.9653435011824039,0.5198034832768111
D12m1_plus_Mvs,none,20,204,1.2208084505667167,1.512465998777611,4.387308129289815,1.6001542099355839,1.3543239766518578,0.5012254901960784,0.492892156862745,39.33401892893933,-20.73215316417425,0.2990147783251232,56.349793089874304,0.170991585863209,4.859743653635569,1.7111960479575454,-0.047087633752951524,-0.1229596332138209,1.6140862138763479,5.229462297141877
D12m1_plus_Mvs,atr<=1.75xMed,20,204,0.6016370194340539,1.1606591477632209,2.6295195790463795,1.4871995361219565,0.7351525455191954,0.5019607843137255,0.5063725490196078,30.45168971928376,-13.069674168585642,0.35689655172413787,36.55949557531629,0.30982136023711626,3.17335760024948,0.6963897262458485,-0.42652307428489544,0.39643106648402004,0.8089340346124626,2.620839951524675
D12m1_plus_Mvs,atr<=2.5xMed,20,204,1.152947734154093,1.7427848923668265,3.8289680206884267,1.635162730151581,1.2864632602392343,0.511764705882353,0.5110294117647058,43.302493638154814,-15.93044698483883,0.3251231527093596,43.80836152029829,0.24781329995957357,3.769821424867583,1.5233602214490323,-0.7457387967270379,0.21138923940073084,2.7325485879406055,3.316274149718711
M_vs_mid_only,none,20,224,0.6286601044619134,0.7121638033080765,3.7624915217219015,1.2520234928118945,0.7270219824206049,0.4801339285714285,0.48660714285714285,28.09792063325347,-20.239003426870905,0.297982062780269,61.5646955254684,0.17121263663552444,5.318720705720642,1.932830748239785,-0.9042481161201291,-0.21647201140032132,0.22408695618042568,3.7087493564366913
M_vs_mid_only,atr<=1.75xMed,20,224,0.6146758978544336,1.0749585251531053,2.78695754415508,1.4501033096470222,0.713037775813125,0.4991071428571429,0.5109375,22.04182545070308,-17.878348581890602,0.3522421524663677,38.650071245297,0.329165335724567,3.3514849281299774,1.0428389776914138,-0.3290876575013937,1.1459560190946734,0.5031697751466898,0.8143143915759978
M_vs_mid_only,atr<=2.5xMed,20,224,1.2262719316639337,1.8164339264306086,4.18694878158808,1.783271369973828,1.3246338096226251,0.5029017857142858,0.5129464285714286,32.06558343023549,-16.452204236610225,0.3192825112107623,47.43876786563161,0.2660327682292854,4.0805199537602395,1.9164320457180866,-0.7120409130218321,0.7612176253888159,2.2347854112179193,2.694383509482152
