variant,ic20_mean,ic20_t,ic63_mean,ic63_t,ls20_%,ls20_t,ls63_%,ls63_t,top10_ex20_%,top10_ex20_t,top10_ex63_%,top10_ex63_t,ic20_2022,ic20_2023,ic20_2024,ic20_2025,ic20_2026
V0_current_like,-0.011340513032538956,-0.6526196513441465,-0.01429449667617784,-0.47925088315917486,-0.4528799968080051,-0.6437042942489767,-0.9645449028642604,-0.4320773689688458,-0.46193551554584433,-1.2365190890178424,-1.4856633299492434,-1.1845429893077553,-0.01913076599106606,-0.04452797233826831,0.001794810203802345,0.0008421426490427872,0.02128393143898902
A_prod_like_rawM_T_R,0.0103997655942951,0.45289428474240606,0.012511046889044804,0.33302584808035757,0.09739422293873409,0.10024297418452532,0.4811810173549792,0.16863847088000794,-0.25805934636634414,-0.6107017310173573,-0.5372660786037439,-0.38256617693298833,0.014882394066237864,-0.027067199515098343,0.03920897936562198,0.003751458753583431,0.03294857748353567
A_like_rawM_T_noR,0.009717288361554072,0.45420455512142804,0.01197521064280715,0.33515502216180787,0.49458086903817755,0.5337817070213,1.6268023285933637,0.5800384285359231,-0.012217414948163856,-0.02487316734153929,0.05585461934254418,0.035388468895975904,0.010196783850645747,-0.028315079704518943,0.03400079831078348,0.01048884538005852,0.035754383380819654
V16a_Mvs_T30_resid15,0.012333689500535547,0.5929213179239454,0.02348192178486545,0.6979003992725388,0.41630774120646397,0.5370846453332917,2.1228158081394257,0.9197318595280524,-0.24618079954274566,-0.6052965014466789,-0.19762038378715913,-0.1452054946506124,0.005663041498368585,-0.0154602112321306,0.032554462983783033,0.014479541537312995,0.037537696198052584
V16b_Mvs70_T30,0.017807144236915432,0.8398763960533276,0.03151883181868368,0.928043268680932,0.753302874218264,0.9370407626960406,2.620827392336234,1.0981980364720574,0.016328891618553543,0.03876944222700149,0.39967935804377397,0.2886047104579945,0.014495568383162728,-0.005751409817611225,0.03903390531057065,0.013555492083508093,0.03842177129531435
V16c_Mvs60_T20_resid10_52w10,0.017102921420933604,0.78456650733523,0.029468570885454397,0.8434425939384617,0.49982415851342243,0.6088312237979339,2.083573016062129,0.8720532484756003,-0.20062155657078745,-0.48677919226629063,-0.10093522821055265,-0.07573320984458863,0.013171430367661855,-0.009201357835681545,0.03950552631436633,0.013229221281001373,0.041492224663405304
V16d_Mvs50_T25_R25(half),0.018013995373989684,0.766383514150196,0.03167238945321262,0.8434638902781442,0.043540995255207576,0.04780623964788545,0.7941165870321062,0.30674047780540936,-0.4258928119243992,-1.166853124360015,-0.5562103542685339,-0.46640763138045377,0.02009569099086323,-0.006252826590632285,0.04577791097775272,0.0038458792956891654,0.03590842625375199
V16e_alpha06_on_prodA,0.013078386684472369,0.6105256748406704,0.01986300117428656,0.5661939975741349,0.46589363225278774,0.5467594673522164,1.9616752880726507,0.7652134120587571,-0.14136535153698593,-0.3210881389492757,-0.07581844831184188,-0.052162413774140395,0.009874868241321373,-0.018814453089368962,0.0366505963990708,0.012942434261453216,0.03737026361241623
V16f_alpha085_on_prodA_noR,0.014279003118714776,0.6688401204809304,0.02297613006029409,0.6626489715423654,0.5097257181315856,0.619265517110803,2.1336825719256822,0.871445064479616,-0.1591598036092761,-0.37090813598892014,-0.07011018968790764,-0.0497115897290268,0.009568159345471916,-0.015016842275694088,0.03734314269219854,0.013835172417172652,0.03800062873477746
V16g_D_like_alpha085,0.013193925303519713,0.6284593057584891,0.02379886819935406,0.7011629393331246,0.43048623471192476,0.5494033714280666,2.141401044711987,0.9173157966301535,-0.24471219618604337,-0.5957904829815994,-0.17762338860984989,-0.12941018496234938,0.006735744653807818,-0.014710952227274223,0.03448833331164996,0.014498366128602285,0.03770269477704682
V2_volscaled_mid,0.009921024897201756,0.5228899998070592,0.031437918638252176,1.050023360676481,0.8889301575829524,1.2846828667885475,3.3056411031625244,1.5805595123510703,0.15122543341940226,0.37638368624747415,0.795159072223253,0.6125876219832902,0.006949787149244341,-0.003329433893960486,0.018652276112587886,0.009045019804238363,0.027351129931987028
M_vs_mid_only,0.02006347785667023,0.9745577544776247,0.03791489640513076,1.1575390218258368,1.0595487131966925,1.3716491750715245,3.169314907877329,1.3662930662752426,0.250677104242132,0.5973404084127876,0.999313878791877,0.7308216580776513,0.019510989683818213,0.0014177953256385516,0.039063603922897115,0.011793505195035681,0.03770518056352722
M_vs_short_only,0.00405330987508994,0.20543192601113497,0.012572020536476916,0.3821520089258726,0.23120101040226596,0.3084623180625743,1.5122169294036345,0.6599782619641247,-0.2942507825237468,-0.6999705098445137,-0.4403931287895206,-0.3216452416938926,-0.0060358708377620425,-0.022092533619951307,0.021501732580150597,0.010116082897340428,0.03056128587630261
